结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首帧时间,总缓冲时间,首缓冲时间,平均缓冲比,缓冲次数,播放时长,下载时间,吞吐率,播放速率,解析成功率,再缓冲率,连接成功率,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项
2013-02-27 17:42:46.866932,土豆视频,222.50.124.90,NULL,土豆视频,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-27 17:42:52.751256,优酷视频,222.50.124.6,NULL,优酷视频,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,200.51,0.22,10.16,7.32,132.01,132.01,0.44,1.0,30.00,2734.68,5414.00,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-27 17:43:40.784920,迅雷看看,123.89.176.30,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.22,2.85,28.23,NULL,NULL,NULL,NULL,NULL,0.00,95.01,1408.54,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-27 17:47:34.501599,土豆视频,222.50.124.58,NULL,土豆视频,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-27 17:47:44.735667,优酷视频,222.50.124.34,NULL,优酷视频,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,236.43,0.21,19.96,2.98,122.42,122.42,0.41,1.0,30.00,1718.34,8616.16,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-27 17:47:50.025438,优酷视频,222.50.124.86,NULL,优酷视频,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,217.18,0.22,1.74,3.23,39.97,39.97,0.13,1.0,30.00,1515.75,9767.79,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-27 17:50:16.252569,迅雷看看,222.50.124.6,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.47,3.00,6.88,NULL,NULL,NULL,NULL,NULL,0.00,23.43,5710.80,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-27 17:50:16.287654,土豆视频,222.50.124.98,NULL,土豆视频,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-27 17:51:39.159196,优酷视频,123.65.232.142,NULL,优酷视频,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,197.58,0.42,36.70,3.17,97.36,97.36,0.32,1.0,30.00,1760.93,8407.79,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-27 17:54:11.235243,土豆视频,222.50.124.66,NULL,土豆视频,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-27 17:54:19.441676,迅雷看看,222.50.124.26,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.48,2.70,8.81,NULL,NULL,NULL,NULL,NULL,0.00,24.47,5469.01,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-27 17:54:25.041898,迅雷看看,222.50.124.82,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.24,2.77,14.49,NULL,NULL,NULL,NULL,NULL,0.00,30.33,4412.03,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-27 17:57:44.855320,优酷视频,222.50.124.10,NULL,优酷视频,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,213.26,0.49,8.35,3.22,41.72,41.72,0.14,1.0,30.00,1639.86,9028.54,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-27 17:58:10.252077,优酷视频,222.50.124.94,NULL,优酷视频,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-27 17:59:33.517033,迅雷看看,123.65.232.142,NULL,迅雷看看,http://data.movie.kankan.com/movie/68445,视频类,0.41,3.10,3.56,NULL,NULL,NULL,NULL,NULL,0.00,20.52,6522.78,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
