结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,丢包,发包数,丢包数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,结果 IP 地址,结果国家名称,结果省名称,结果归属地
2013-02-27 17:58:13.829446,moonbasa.com,222.50.124.2,NULL,moonbasa.com,moonbasa.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,113.108.220.136,中国,广东, 电信
2013-02-27 17:58:14.426233,工商银行,123.89.176.30,NULL,工商银行,www.icbc.com.cn,网页类,NULL,0.000,100,0,58.18,58.57,57.86,0.17,0.20,0.70,0.00,0.14,113.31.42.29,中国,北京, 其它运营商
2013-02-27 17:58:16.432783,迅雷看看,222.50.124.74,NULL,迅雷看看,www.kankan.com,网页类,NULL,0.000,100,0,2.80,4.62,2.67,0.20,0.10,1.91,0.00,0.27,61.235.96.93,中国,广东, 铁通
2013-02-27 17:58:16.439674,53kf.com,222.50.124.26,NULL,53kf.com,53kf.com,广东铁通TOPn网站,NULL,0.000,100,0,31.35,33.11,31.05,0.23,0.20,1.88,0.00,0.26,122.227.58.188,中国,浙江, 电信
2013-02-27 17:58:20.265860,3393.com,222.50.124.90,NULL,3393.com,3393.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,121.10.173.39,中国,广东, 电信
2013-02-27 17:58:22.570706,guosen.cn,222.50.124.90,NULL,guosen.cn,guosen.cn,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-27 17:58:33.896691,kaixin001.com,222.50.124.102,NULL,kaixin001.com,kaixin001.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.131.222.21,中国,北京, 其它运营商
2013-02-27 17:58:33.995769,kuai8.com,222.50.124.50,NULL,kuai8.com,kuai8.com,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-27 17:58:37.751318,安卓商城官网,222.50.124.110,NULL,安卓商城官网,https://play.google.com/store,网页类,NULL,0.000,100,0,0.62,1.90,0.51,0.14,0.08,1.32,0.00,0.19,211.98.70.195,中国,湖南, 铁通
2013-02-27 17:58:37.974187,迅雷看看,222.50.124.38,NULL,迅雷看看,www.kankan.com,网页类,NULL,0.000,100,0,2.74,2.92,2.64,0.05,0.05,0.20,0.00,0.05,61.235.96.93,中国,广东, 铁通
2013-02-27 17:58:38.046134,wps.cn,222.50.124.70,NULL,wps.cn,wps.cn,广东铁通TOPn网站,NULL,0.000,100,0,31.96,32.18,31.86,0.06,0.06,0.25,0.00,0.05,219.239.93.145,中国,北京, 移动
2013-02-27 17:58:56.969304,pptv.com,222.50.124.2,NULL,pptv.com,pptv.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,119.147.174.102,中国,广东, 电信
2013-02-27 17:58:59.573511,华军软件园,222.50.124.86,NULL,华军软件园,www.onlinedown.net,下载类,NULL,0.000,100,0,28.68,29.00,28.57,0.08,0.09,0.31,0.00,0.08,120.193.11.194,中国,浙江, 移动
2013-02-27 17:58:59.707871,世纪佳缘,222.50.124.34,NULL,世纪佳缘,www.jiayuan.com,网页类,NULL,0.000,100,0,37.22,37.92,37.04,0.13,0.12,0.82,0.00,0.14,59.151.18.32,中国,北京, 其它运营商
2013-02-27 17:59:01.318296,eastmoney.com,222.50.124.102,NULL,eastmoney.com,eastmoney.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,222.73.55.186,中国,上海, 电信
2013-02-27 17:59:06.654925,88210212.com,222.50.124.50,NULL,88210212.com,88210212.com,广东铁通TOPn网站,NULL,0.000,100,0,7.90,8.10,7.78,0.07,0.08,0.28,0.00,0.07,113.106.18.148,中国,广东, 电信
2013-02-27 17:59:10.095244,gtags.net,222.50.124.70,NULL,gtags.net,gtags.net,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
