结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,路由变化,路由跳数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,丢包,发包数,丢包数,结果 IP 地址,结果国家名称,结果省名称,结果归属地,附加项
2013-02-27 17:47:37.745651,广东铁通4-qylt01(xhht)联通出口,222.50.124.102,NULL,优酷,www.youku.com,网页类,0,7,44.68,199.58,0.61,64.37,8.83,60.81,0.00,21.22,0.000,21,0,122.72.120.241,中国,中国NDC, 铁通,7
2013-02-27 17:47:38.453444,广东铁通1-huzlt01(bjdx)联通出口,222.50.124.90,NULL,QQ空间,www.qzone.qq.com,网页类,25,30,2.60,7.02,0.62,2.34,0.65,2.07,0.00,0.77,83.333,90,75,112.90.143.191,中国,广东, 联通,30
2013-02-27 17:47:39.915956,广东铁通5-yxzydx(ct)电信出口,222.50.124.42,NULL,优酷视频,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,0,5,2.65,10.36,0.55,3.86,0.27,0.99,0.00,0.37,0.000,15,0,211.98.70.195,中国,湖南, 铁通,5
2013-02-27 17:47:42.528460,广东铁通1-zsdx01(ncda)电信出口,222.50.124.26,NULL,3322.org,3322.org,广东铁通TOPn网站,0,20,6.17,32.31,0.55,10.37,0.39,2.36,0.00,0.77,60.000,60,36,61.160.239.28,中国,江苏, 电信,20
2013-02-27 17:47:49.312627,广东铁通1-gzlt01(gzhy)联通出口,222.50.124.70,NULL,qidian.com,qidian.com,广东铁通TOPn网站,0,30,3.27,11.22,0.57,2.74,1.11,8.84,0.00,1.94,0.000,90,0,202.102.58.214,中国,江苏, 电信,30
2013-02-27 17:47:53.740249,广东铁通4-hazlt01(lzk)联通出口,222.50.124.62,NULL,小说阅读网,www.readnovel.com,网页类,0,30,2.75,9.61,0.58,3.44,0.79,3.05,0.00,1.17,83.333,90,75,60.210.23.74,中国,山东, 联通,30
2013-02-27 17:47:54.583486,广东铁通1-gzlt01(shrs)联通出口,222.50.124.110,NULL,ijinshan.com,ijinshan.com,广东铁通TOPn网站,0,30,3.02,7.24,0.59,2.70,1.27,3.08,0.00,1.31,86.667,90,78,114.112.68.197,中国,江苏, 移动,30
2013-02-27 17:47:58.800647,广东铁通1-gzlt01(shrs)联通出口,222.50.124.110,NULL,360safe.com,360safe.com,广东铁通TOPn网站,0,30,3.18,13.49,0.87,2.78,1.10,9.65,0.00,2.27,0.000,90,0,124.238.254.52,中国,河北, 电信,30
2013-02-27 17:48:01.361011,广东铁通1-asddx(mzzy)电信出口,222.50.124.50,NULL,kuwo.cn,kuwo.cn,广东铁通TOPn网站,12,24,45.45,123.33,0.58,40.98,6.72,100.16,0.00,21.33,13.889,72,10,221.238.18.57,中国,天津, 电信,24
2013-02-27 17:48:03.956429,广东铁通1-fsrj01(dx)电信出口,222.50.124.2,NULL,bet007.com,bet007.com,广东铁通TOPn网站,2,30,3.48,5.80,0.84,1.94,1.36,4.91,0.00,1.81,82.222,90,74,61.143.225.118,中国,广东, 电信,30
2013-02-27 17:48:07.697988,广东铁通1-huzlt01(bjdx)联通出口,222.50.124.90,NULL,chinaiiss.com,chinaiiss.com,广东铁通TOPn网站,0,30,2.44,8.17,0.75,1.76,0.85,11.33,0.00,2.43,0.000,90,0,121.10.117.198,中国,广东, 电信,30
2013-02-27 17:48:10.873268,广东铁通2-zhdx01(hxtl)电信出口,222.50.124.54,NULL,新浪,www.sina.com.cn,网页类,4,7,21.87,38.04,0.66,15.37,0.63,1.76,0.00,0.58,0.000,21,0,211.98.132.64,中国,北京, 铁通,7
2013-02-27 17:48:12.369430,广东铁通1-gzlt01(gzhy)联通出口,222.50.124.70,NULL,ifeng.com,ifeng.com,广东铁通TOPn网站,0,19,26.60,101.56,0.59,28.02,1.89,13.71,0.00,3.20,12.281,57,7,123.125.72.60,中国,北京, 联通,19
2013-02-27 17:48:18.143944,广东铁通5-gzlt(asd)联通出口,123.89.176.38,NULL,华军软件园,www.onlinedown.net,下载类,9,12,15.85,31.78,0.57,12.37,2.94,21.21,0.00,5.99,8.333,36,3,221.130.12.62,中国,江苏, 移动,12
2013-02-27 17:48:21.082680,广东铁通1-zsdx01(ncda)电信出口,222.50.124.26,NULL,微博,www.weibo.com,网页类,0,18,7.54,41.50,0.58,13.25,0.49,1.79,0.00,0.59,55.556,54,30,180.149.134.17,中国,北京, 电信,18
2013-02-27 17:48:26.400157,广东铁通5-shdx(cdsj)电信出口,222.50.124.18,NULL,QQ空间,www.qzone.qq.com,网页类,0,14,6.12,38.28,0.57,10.17,5.07,49.78,0.00,13.53,14.286,42,6,112.90.140.193,中国,广东, 联通,14
2013-02-27 17:48:26.436752,广东铁通1-huzlt01(bjdx)联通出口,222.50.124.90,NULL,广州网,www.020.com,网页类,0,15,3.90,12.96,0.52,3.16,0.99,6.56,0.00,1.88,0.000,45,0,120.31.61.171,中国,广东, 铁通,15
2013-02-27 17:48:27.988868,广东铁通4-gzdx02(gzhy)电信出口,222.50.124.38,NULL,糗事百科,www.qiushibaike.com,网页类,1,13,31.92,59.20,0.54,24.78,1.43,3.64,0.00,1.13,10.256,39,4,183.203.15.209,中国,山西, 移动,13
2013-02-27 17:48:28.290122,广东铁通4-cslt01(bjdx)联通出口,222.50.124.82,NULL,qq邮箱,www.mail.qq.com,网页类,4,11,6.67,22.71,0.58,6.44,5.38,31.45,0.00,10.17,3.030,33,1,120.196.210.104,中国,广东, 移动,11
2013-02-27 17:48:39.512539,广东铁通1-fsrj01(dx)电信出口,222.50.124.2,NULL,sinaimg.cn,sinaimg.cn,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,32.48.59.32,美国,NULL, 其它运营商,0
2013-02-27 17:48:43.949375,广东铁通1-huzlt01(bjdx)联通出口,222.50.124.90,NULL,lxdns.com,lxdns.com,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,0.0.0.0,NULL,NULL,NULL,0
2013-02-27 17:48:45.074757,广东铁通1-gzlt01(shrs)联通出口,222.50.124.110,NULL,SERVICE.TOOLS.SDO.COM,SERVICE.TOOLS.SDO.COM,广东铁通TOPn网站,8,30,5.92,77.82,0.65,14.79,5.05,81.46,0.00,17.10,0.000,90,0,122.226.73.171,中国,浙江, 电信,30
2013-02-27 17:48:48.818327,广东铁通3-gzdx01(gzhy)电信出口,222.50.124.34,NULL,qq邮箱,www.mail.qq.com,网页类,4,12,4.51,11.66,0.57,3.48,3.51,19.69,0.00,5.96,13.889,36,5,120.196.210.104,中国,广东, 移动,12
2013-02-27 17:48:50.126044,广东铁通1-fsrj01(dx)电信出口,222.50.124.2,NULL,icast.cn,icast.cn,广东铁通TOPn网站,0,30,5.02,12.16,0.55,5.10,2.34,4.37,0.00,1.78,90.000,90,81,222.73.178.102,中国,上海, 电信,30
2013-02-27 17:48:53.716080,广东铁通1-gzlt01(gzhy)联通出口,222.50.124.70,NULL,yunduan.cn,yunduan.cn,广东铁通TOPn网站,0,30,3.25,26.64,0.59,4.81,2.69,37.63,0.00,7.96,0.000,90,0,58.215.55.52,中国,江苏, 电信,30
2013-02-27 17:48:55.044005,广东铁通1-asddx(mzzy)电信出口,222.50.124.50,NULL,360.cn,360.cn,广东铁通TOPn网站,0,18,15.27,75.08,0.56,27.09,0.83,4.29,0.00,1.55,66.667,54,36,125.39.100.74,中国,天津, 联通,18
2013-02-27 17:48:57.962760,广东铁通6-gzdx01(shrs)电信出口,222.50.124.130,NULL,poco,www.poco.cn,网页类,10,15,27.75,88.51,0.61,29.83,2.16,14.22,0.00,4.16,6.667,45,3,124.95.150.158,中国,辽宁, 联通,15
2013-02-27 17:49:04.788682,广东铁通1-gzlt01(shrs)联通出口,222.50.124.110,NULL,readnovel.com,readnovel.com,广东铁通TOPn网站,0,13,25.58,42.18,0.58,12.28,2.40,21.52,0.00,5.84,2.564,39,1,118.244.198.2,中国,吉林, 铁通,13
2013-02-27 17:49:05.340570,广东铁通1-gzlt01(gzhy)联通出口,222.50.124.70,NULL,lxdns.com,lxdns.com,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,32.32.32.32,美国,NULL, 其它运营商,0
2013-02-27 17:49:10.041190,广东铁通1-zsdx01(ncda)电信出口,222.50.124.26,NULL,10086.cn,10086.cn,广东铁通TOPn网站,1,12,25.69,46.22,0.60,19.00,6.58,45.54,0.00,13.16,16.667,36,6,218.206.191.70,中国,北京, 移动,12
2013-02-27 17:49:17.791254,广东铁通1-asddx(mzzy)电信出口,222.50.124.50,NULL,广州网,www.020.com,网页类,0,15,3.72,10.37,0.56,2.70,0.53,4.62,0.00,1.14,0.000,45,0,120.31.61.171,中国,广东, 铁通,15
2013-02-27 17:49:21.312984,广东铁通1-gzlt01(shrs)联通出口,222.50.124.110,NULL,zhekouku.cn,zhekouku.cn,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,176.214.4.0,其它地区,NULL, 其它运营商,0
2013-02-27 17:49:23.351935,广东铁通1-zsdx01(ncda)电信出口,222.50.124.26,NULL,qlogo.cn,qlogo.cn,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,249.232.229.89,IANA,NULL, 其它运营商,0
2013-02-27 17:49:24.974245,广东铁通5-shdx(cdsj)电信出口,222.50.124.18,NULL,优酷视频,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,0,6,1.68,6.43,0.58,2.13,0.14,0.48,0.00,0.16,0.000,18,0,211.98.70.195,中国,湖南, 铁通,6
2013-02-27 17:49:33.270659,广东铁通1-gzlt01(gzhy)联通出口,222.50.124.70,NULL,126.com,126.com,广东铁通TOPn网站,11,13,15.56,46.07,0.61,18.89,3.09,24.15,0.00,6.80,7.692,39,3,220.181.12.218,中国,北京, 其它运营商,13
2013-02-27 17:49:37.224873,广东铁通2-huzlt02(bjdx)联通出口,222.50.124.94,NULL,新浪,www.sina.com.cn,网页类,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,0.0.0.0,NULL,NULL,NULL,0
2013-02-27 17:49:37.910507,广东铁通1-asddx(mzzy)电信出口,222.50.124.50,NULL,uvan.com,uvan.com,广东铁通TOPn网站,0,10,20.50,29.94,0.58,11.63,0.38,1.67,0.00,0.51,0.000,30,0,211.151.134.239,中国,北京, 联通,10
2013-02-27 17:49:50.546764,广东铁通1-gzlt01(shrs)联通出口,222.50.124.110,NULL,网易,www.163.com,网页类,5,12,27.65,55.27,0.63,20.65,9.84,47.03,0.00,14.76,8.333,36,3,223.87.1.59,中国,四川, 移动,12
2013-02-27 17:49:51.099943,广东铁通6-gxyn01(dx)电信出口,222.50.124.22,NULL,QQ空间,www.qzone.qq.com,网页类,0,30,3.17,9.44,0.54,3.33,1.38,4.48,0.00,1.79,83.333,90,75,112.90.143.191,中国,广东, 联通,30
2013-02-27 17:49:53.556579,广东铁通1-huzlt01(bjdx)联通出口,222.50.124.90,NULL,adsxin.com,adsxin.com,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,116.101.114.115,越南,NULL, 其它运营商,0
2013-02-27 17:49:58.296702,广东铁通1-gzlt01(gzhy)联通出口,222.50.124.70,NULL,微博,www.weibo.com,网页类,0,30,2.25,10.45,0.77,1.71,0.45,4.25,0.00,1.03,0.000,90,0,180.149.134.17,中国,北京, 电信,30
2013-02-27 17:50:07.874539,广东铁通3-huzlt03(bjdx)联通出口,222.50.124.98,NULL,天空软件站,www.skycn.com,下载类,0,25,10.62,59.23,0.56,20.07,0.42,2.46,0.00,0.83,72.000,75,54,125.39.78.230,中国,天津, 联通,25
2013-02-27 17:50:09.317859,广东铁通1-fsrj01(dx)电信出口,222.50.124.2,NULL,360.cn,360.cn,广东铁通TOPn网站,0,18,15.94,76.88,0.58,27.41,2.11,10.87,0.00,3.93,66.667,54,36,125.39.100.74,中国,天津, 联通,18
2013-02-27 17:50:09.423329,广东铁通1-fsrj01(dx)电信出口,222.50.124.2,NULL,360buy.com,360buy.com,广东铁通TOPn网站,0,11,23.85,35.79,0.58,12.99,0.54,3.81,0.00,1.07,0.000,33,0,58.83.238.167,中国,北京, 铁通,11
2013-02-27 17:50:10.192779,广东铁通5-yxzydx(ct)电信出口,222.50.124.42,NULL,小说阅读网,www.readnovel.com,网页类,3,18,13.40,59.62,0.54,21.08,1.17,5.60,0.00,2.00,66.667,54,36,60.210.23.65,中国,山东, 联通,18
2013-02-27 17:50:10.499274,广东铁通3-gzdx01(gzhy)电信出口,222.50.124.34,NULL,和讯网,www.hexun.com,网页类,6,13,26.64,37.33,0.56,12.72,0.14,0.67,0.00,0.18,0.000,39,0,219.239.236.198,中国,北京, 电信,13
