结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首屏打开时间,下载时间,页面加载时间,总时间,吞吐率,综合质量,解析成功率,连接成功率,首页加载成功率,加载比例,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项,元素数量
2013-02-26 22:45:24.108914,222.50.124.114,NULL,www.mail.qq.com,网页类,0.23,5.18,25.89,31.30,25.89,31.30,31.30,22.52,65.2,100.00,100.00,100.00,100.00,100.00,120.196.210.104,中国,广东, 移动,0.6,0.2,200,1,1
2013-02-26 22:45:28.078496,222.50.124.70,NULL,ijinshan.com,广东铁通TOPn网站,0.46,43.65,43.33,437.46,350.90,437.44,437.46,30.20,62.6,100.00,7.14,100.00,7.14,0.00,114.112.68.197,中国,江苏, 移动,10.6,10.1,302,28,28
2013-02-26 22:45:28.320719,222.50.124.38,NULL,www.pconline.com.cn,网页类,0.42,19.98,33.99,160.00,5812.98,9552.98,9978.23,124.46,71.4,100.00,100.00,100.00,100.00,100.00,210.21.118.120,中国,广东, 联通,723.5,696.4,200,50,60
2013-02-26 22:45:39.056234,222.50.124.38,NULL,www.mail.qq.com,网页类,0.26,4.66,23.21,28.14,23.21,28.14,28.14,25.11,65.3,100.00,100.00,100.00,100.00,100.00,120.196.210.104,中国,广东, 移动,0.6,0.2,200,1,1
2013-02-26 22:45:39.550817,222.50.124.50,NULL,bet007.com,广东铁通TOPn网站,0.26,7.98,8.46,16.69,8.46,16.69,16.69,41.70,71.5,100.00,50.00,100.00,50.00,0.00,61.143.225.118,中国,广东, 电信,0.4,0.1,301,2,2
2013-02-26 22:45:39.929974,222.50.124.106,NULL,www.020.com,网页类,0.49,3.66,157.40,181.93,11049.74,11247.80,11344.11,92.46,55.1,100.00,100.00,100.00,100.00,100.00,120.31.61.171,中国,广东, 铁通,1021.7,1492.7,200,50,72
2013-02-26 22:45:42.231994,222.50.124.2,NULL,yy.com,广东铁通TOPn网站,0.25,63.65,84.42,168.40,4230.00,4758.50,4758.50,16.39,52.5,100.00,100.00,100.00,100.00,100.00,61.55.172.36,中国,河北, 联通,69.3,66.4,200,8,8
2013-02-26 22:45:43.994347,222.50.124.82,NULL,www.cctv.com,网页类,0.45,37.24,38.46,76.15,38.46,76.15,76.15,13.76,63.7,100.00,100.00,100.00,100.00,100.00,122.70.142.160,中国,北京, 铁通,0.5,0.2,200,1,1
2013-02-26 22:45:48.070365,222.50.124.54,NULL,meilishuo.com,广东铁通TOPn网站,0.49,36.71,37.03,383.84,4193.17,4578.55,5112.62,216.29,81.3,100.00,100.00,100.00,100.00,100.00,124.202.144.8,中国,北京, 移动,907.0,898.5,301,23,23
2013-02-26 22:45:58.151563,222.50.124.2,NULL,gtags.net,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-02-26 22:45:59.773038,222.50.124.26,NULL,irs09.com,广东铁通TOPn网站,0.25,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,114.112.32.237,中国,江苏, 移动,NULL,0.2,403,1,1
2013-02-26 22:46:02.222881,222.50.124.86,NULL,www.poco.cn,网页类,0.46,1.27,3139.79,3481.60,35957.72,37282.65,37282.66,28.42,22.4,100.00,95.65,100.00,67.35,0.00,218.8.51.23,中国,黑龙江, 联通,1022.0,1218.8,200,50,98
2013-02-26 22:46:03.956328,222.50.124.90,NULL,4399.com,广东铁通TOPn网站,0.54,28.04,27.96,209.36,6861.17,11515.52,12783.67,97.09,64.1,100.00,99.37,100.00,99.37,100.00,115.182.52.231,中国,北京, 移动,666.2,608.5,301,50,158
2013-02-26 22:46:11.441962,110.209.253.254,NULL,www.hexun.com,网页类,0.27,28.75,29.31,178.11,4527.72,6193.87,6774.77,192.83,80.3,100.00,100.00,100.00,100.00,100.00,219.239.236.199,中国,北京, 电信,873.1,830.1,200,50,115
