结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,解析时间,丢包,发包数,丢包数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,结果 IP 地址,结果国家名称,结果省名称,结果归属地
2013-02-26 22:37:27.146354,222.50.124.102,NULL,1360.cn,广东铁通TOPn网站,NULL,3.000,100,3,31.99,32.88,31.73,0.20,0.24,1.12,0.01,0.21,58.68.151.179,中国,北京, 移动
2013-02-26 22:37:28.497419,222.50.124.30,NULL,www.hl.cnc.cn,网页类,NULL,0.000,100,0,66.27,66.73,66.10,0.09,0.09,0.42,0.00,0.08,221.212.213.106,中国,黑龙江, 联通
2013-02-26 22:37:31.361432,222.50.124.70,NULL,sinajs.cn,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:37:32.750252,222.50.124.22,NULL,www.kankan.com,网页类,NULL,0.000,100,0,2.76,2.92,2.64,0.05,0.04,0.15,0.00,0.03,61.235.96.93,中国,广东, 铁通
2013-02-26 22:37:34.872529,222.50.124.70,NULL,imshell.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,121.12.172.101,中国,广东, 电信
2013-02-26 22:37:43.382507,222.50.124.62,NULL,www.tudou.com,网页类,NULL,9.000,100,9,116.83,117.13,116.46,0.11,0.12,0.41,0.00,0.08,123.126.98.150,中国,北京, 联通
2013-02-26 22:37:47.261014,123.65.232.142,NULL,www.taobao.com,网页类,NULL,0.000,100,0,31.57,31.79,31.50,0.04,0.04,0.23,0.00,0.04,122.72.3.251,中国,中国NDC, 铁通
2013-02-26 22:37:49.902913,222.50.124.42,NULL,www.tudou.com,网页类,NULL,0.000,100,0,39.46,39.70,39.33,0.07,0.07,0.22,0.01,0.06,123.126.98.150,中国,北京, 联通
2013-02-26 22:37:54.397146,222.50.124.2,NULL,https://play.google.com/store,网页类,NULL,0.000,100,0,0.65,0.83,0.53,0.06,0.07,0.26,0.00,0.06,211.98.70.195,中国,湖南, 铁通
2013-02-26 22:37:54.474046,222.50.124.98,NULL,www.gzmama.com,网页类,NULL,3.000,100,3,12.62,15.08,9.21,1.02,1.11,4.12,0.00,0.99,58.248.62.22,中国,广东, 联通
2013-02-26 22:38:04.823055,222.50.124.54,NULL,www.163.com,网页类,NULL,1.000,100,1,48.23,55.98,42.50,2.80,1.54,6.61,0.00,1.50,223.87.1.59,中国,四川, 移动
2013-02-26 22:38:07.900053,222.50.124.90,NULL,woxihuan.com,广东铁通TOPn网站,NULL,0.000,100,0,50.58,51.16,50.10,0.23,0.26,0.75,0.00,0.19,123.125.160.234,中国,北京, 联通
2013-02-26 22:38:08.105055,222.50.124.90,NULL,sohu.com.cn,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61.135.181.176,中国,北京, 联通
2013-02-26 22:38:11.550945,222.50.124.34,NULL,www.cctv.com,网页类,NULL,0.000,100,0,31.95,32.30,31.64,0.17,0.18,0.53,0.00,0.14,122.70.142.160,中国,北京, 铁通
2013-02-26 22:38:12.435769,222.50.124.50,NULL,xcy8.com,广东铁通TOPn网站,NULL,0.000,100,0,8.60,10.94,8.12,0.58,0.55,2.68,0.00,0.62,121.10.173.39,中国,广东, 电信
2013-02-26 22:38:17.835470,222.50.124.70,NULL,taotaosou.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,115.236.101.27,中国,浙江, 电信
2013-02-26 22:38:22.167812,222.50.124.26,NULL,sandai.net,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:38:24.514407,222.50.124.110,NULL,hiapk.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,121.207.242.73,中国,福建, 电信
2013-02-26 22:38:25.345477,222.50.124.70,NULL,www.163.com,网页类,NULL,0.000,100,0,43.50,48.55,42.14,1.35,0.75,4.57,0.00,0.74,223.87.1.59,中国,四川, 移动
2013-02-26 22:38:29.942392,222.50.124.2,NULL,kaixin001.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.131.222.21,中国,北京, 其它运营商
2013-02-26 22:38:33.974237,222.50.124.50,NULL,ad-plus.cn,广东铁通TOPn网站,NULL,0.000,100,0,43.42,45.00,42.91,0.40,0.42,1.66,0.00,0.42,220.181.20.30,中国,北京, 电信
