2013-02-19 08:58:46 |广东铁通4-cslt01(bjdx)  |联通        |poco                          |798.758             |24512.763           |60.50878906         |100.0               |100.0               |221.192.149.83      |河北        |联通        
2013-02-19 08:58:44 |广东铁通1-gzlt01(shrs)  |联通        |56.com                        |45.685              |16027.416           |88.08789062         |100.0               |100.0               |112.90.57.7         |广东        |联通        
2013-02-19 08:58:16 |广东铁通1-fsrj01(dx)    |电信        |189qas.com                    |136.301             |782.953             |139.4609375         |100.0               |100.0               |116.228.171.120     |上海        |电信        
2013-02-19 08:58:13 |广东铁通1-huzlt01(bjdx) |联通        |yy.com                        |141.835             |1375.86             |111.0517578         |100.0               |100.0               |61.55.172.36        |河北        |联通        
2013-02-19 08:58:04 |广东铁通2-hzdx01(hyhr)  |电信        |和讯网                           |197.964             |9804.739            |123.0185547         |100.0               |100.0               |219.239.236.198     |北京        |电信        
2013-02-19 08:57:46 |广东铁通1-asddx(mzzy)   |电信        |hexun.com                     |271.644             |8896.585            |135.4775391         |100.0               |100.0               |59.173.14.2         |湖北        |电信        
2013-02-19 08:57:38 |广东铁通1-zsdx01(ncda)  |电信        |miercn.com                    |161.738             |7171.959            |201.6347656         |100.0               |100.0               |125.77.197.86       |福建        |电信        
2013-02-19 08:57:08 |广东铁通1-zsdx01(ncda)  |电信        |irs01.com                     |-                   |-                   |-                   |0.0                 |0.0                 |180.169.20.133      |上海        |电信        
2013-02-19 08:56:39 |广东铁通3-gzdx01(gzhy)  |电信        |和讯网                           |197.939             |9839.344            |85.82226562         |100.0               |100.0               |219.239.236.198     |北京        |电信        
2013-02-19 08:56:17 |广东铁通1-asddx(mzzy)   |电信        |imshell.com                   |12.53               |12.53               |148.0664062         |100.0               |100.0               |121.12.172.101      |广东        |电信        
2013-02-19 08:56:16 |广东铁通5-whlt01(zbyt)  |联通        |广州妈妈网                         |641.057             |12862.388           |134.8007812         |100.0               |100.0               |58.248.62.30        |广东        |联通        
2013-02-19 08:56:05 |广东铁通5-qylt02(xhht)  |联通        |广州妈妈网                         |95.505              |7320.684            |225.9707031         |100.0               |100.0               |58.248.62.34        |广东        |联通        
2013-02-19 08:55:42 |广东铁通1-asddx(mzzy)   |电信        |kuaiwan.com                   |371.8               |18673.312           |62.64355469         |100.0               |100.0               |122.225.115.167     |浙江        |电信        
2013-02-19 08:55:29 |广东铁通5-qylt02(xhht)  |联通        |poco                          |304.834             |16394.909           |91.453125           |100.0               |100.0               |221.192.144.10      |河北        |联通        
2013-02-19 08:55:13 |广东铁通1-fsrj01(dx)    |电信        |kuwo.cn                       |793.749             |4320.546            |137.7060547         |93.75               |100.0               |221.238.18.57       |天津        |电信        
2013-02-19 08:54:49 |广东铁通1-fsrj01(dx)    |电信        |yunduan.cn                    |118.113             |717.289             |145.6025391         |100.0               |100.0               |58.215.55.51        |江苏        |电信        
2013-02-19 08:54:44 |广东铁通2-zhdx01(hxtl)  |电信        |2345.com                      |136.392             |1308.984            |80.17773438         |100.0               |100.0               |122.227.230.133     |浙江        |电信        
2013-02-19 08:54:35 |广东铁通1-zsdx01(ncda)  |电信        |bet007.com                    |18.953              |18.953              |37.40820312         |50.0                |100.0               |61.143.225.118      |广东        |电信        
2013-02-19 08:53:54 |广东铁通1-gzlt01(gzhy)  |联通        |xlpan.com                     |400.273             |2366.692            |122.6396484         |100.0               |100.0               |111.161.24.152      |北京        |联通        
2013-02-19 08:53:38 |广东铁通1-gzlt01(shrs)  |联通        |tianya.cn                     |65.557              |2435.466            |125.5927734         |100.0               |100.0               |221.11.172.222      |海南        |联通        
2013-02-19 08:53:31 |广东铁通5-whlt01(zbyt)  |联通        |天空软件站                         |378.688             |8620.398            |56.68457031         |100.0               |100.0               |125.39.78.230       |天津        |联通        
2013-02-19 08:53:25 |广东铁通1-zsdx01(ncda)  |电信        |letv.com                      |310.711             |2408.402            |208.5332031         |96.55172414         |100.0               |220.181.117.38      |北京        |电信        
2013-02-19 08:53:22 |广东铁通1-huzlt01(bjdx) |联通        |iqiyi.com                     |270.976             |1107.928            |426.2539062         |90.0                |100.0               |202.108.14.56       |北京        |联通        
2013-02-19 08:53:09 |广东铁通1-asddx(mzzy)   |电信        |57.net                        |-                   |-                   |-                   |0.0                 |0.0                 |61.160.234.11       |江苏        |电信        
2013-02-19 08:52:25 |广东铁通1-fsrj01(dx)    |电信        |yihaodian.com                 |738.713             |1301.96             |251.3808594         |100.0               |100.0               |222.73.105.82       |上海        |电信        
