结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,路由变化,路由跳数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,丢包,发包数,丢包数,结果 IP 地址,结果国家名称,结果省名称,结果归属地,附加项
2013-02-26 22:02:34.689913,222.50.124.110,NULL,hexun.com,广东铁通TOPn网站,0,30,2.72,10.92,0.58,2.60,0.57,9.72,0.00,1.85,0.000,90,0,59.173.14.2,中国,湖北, 电信,30
2013-02-26 22:02:36.877083,222.50.124.14,NULL,www.readnovel.com,网页类,3,18,11.03,55.60,0.55,19.99,0.95,3.03,0.00,1.24,66.667,54,36,221.204.241.230,中国,山西, 联通,18
2013-02-26 22:02:38.467371,222.50.124.90,NULL,www.readnovel.com,网页类,5,18,11.64,56.97,0.66,20.43,0.59,2.28,0.00,0.81,66.667,54,36,221.204.241.230,中国,山西, 联通,18
2013-02-26 22:02:41.683650,222.50.124.14,NULL,www.mail.qq.com,网页类,4,11,9.79,40.41,0.60,12.08,5.21,35.90,0.00,10.94,15.152,33,5,120.196.210.104,中国,广东, 移动,11
2013-02-26 22:02:43.061424,222.50.124.70,NULL,ip138.com,广东铁通TOPn网站,0,9,24.37,37.34,0.61,14.83,0.20,1.12,0.00,0.33,0.000,27,0,122.70.142.161,中国,北京, 铁通,9
2013-02-26 22:02:50.344972,222.50.124.26,NULL,dopool.com,广东铁通TOPn网站,0,30,2.21,9.13,0.54,2.84,0.70,4.46,0.00,1.54,76.667,90,69,220.170.192.35,中国,湖南, 电信,30
2013-02-26 22:02:50.399973,123.89.176.30,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,0,6,2.08,9.07,0.59,3.13,0.87,4.90,0.00,1.80,0.000,18,0,211.98.70.195,中国,湖南, 铁通,6
2013-02-26 22:02:52.251185,222.50.124.34,NULL,www.readnovel.com,网页类,3,19,11.76,52.35,0.58,18.56,0.48,1.99,0.00,0.70,68.421,57,39,221.204.241.230,中国,山西, 联通,19
2013-02-26 22:02:54.040330,222.50.124.62,NULL,www.163.com,网页类,5,12,29.79,63.84,0.61,24.16,5.22,20.23,0.00,6.03,8.333,36,3,223.87.1.58,中国,四川, 移动,12
2013-02-26 22:02:56.287664,222.50.124.94,NULL,www.jiayuan.com,网页类,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,118.105.100.101,日本,NULL, 其它运营商,0
2013-02-26 22:02:57.264319,222.50.124.50,NULL,icast.cn,广东铁通TOPn网站,0,30,40.65,94.47,0.59,30.24,2.12,17.49,0.00,4.32,43.333,90,39,222.73.178.102,中国,上海, 电信,30
