结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首帧时间,总缓冲时间,首缓冲时间,平均缓冲比,缓冲次数,播放时长,下载时间,吞吐率,播放速率,解析成功率,再缓冲率,连接成功率,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项
2013-02-26 22:47:16.155664,222.50.124.42,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,226.37,0.23,12.54,4.60,37.58,37.58,0.13,1.0,30.00,2843.43,5206.92,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-26 22:47:20.531203,110.209.253.254,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,201.58,0.44,2.02,3.54,39.30,39.30,0.13,1.0,30.00,2145.89,6899.49,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-26 22:49:43.555052,222.50.124.106,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-26 22:49:52.365423,222.50.124.14,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,231.04,0.81,349.57,11.41,294.10,294.10,0.98,1.0,30.00,5750.37,2574.71,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-26 22:53:46.105185,222.50.124.130,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,193.53,0.47,43.68,3.33,106.31,106.31,0.35,1.0,30.00,3981.16,3718.90,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-26 22:53:50.012809,222.50.124.46,NULL,http://data.movie.kankan.com/movie/68445,视频类,0.27,2.97,3.35,NULL,NULL,NULL,NULL,NULL,0.00,19.56,6841.28,0.00,100.00,NULL,100.00,0.00,61.235.96.93,中国,广东, 铁通,133.8,133.8,200,1
2013-02-26 22:53:55.374458,222.50.124.70,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-26 22:55:06.992109,123.65.232.142,NULL,http://www.tudou.com/albumplay/eo1bZM7UDrA.html,视频类,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,0.00,0.00,NULL,0.00,0.00,0.0.0.0,NULL,NULL,NULL,0.0,0.0,0,0
2013-02-26 22:57:14.227979,222.50.124.90,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,245.47,0.56,15.84,3.65,125.83,125.83,0.42,1.0,30.00,4227.81,3501.94,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
2013-02-26 22:57:18.367212,222.50.124.18,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,3289.83,0.60,1.71,3.23,31.22,31.22,0.10,1.0,30.00,2002.36,7394.02,37.28,100.00,0.00,100.00,100.00,221.174.48.148,中国,NULL, 铁通,14805.5,14805.5,200,2
